Designator,Mid X,Mid Y,Layer,Rotation
R1,168.5200mm,106.5000mm,Top,270.0
R5,157.0500mm,92.0500mm,Top,270.0
R6,159.5750mm,91.2500mm,Top,0.0
R8,171.0500mm,71.4500mm,Top,0.0
R9,173.4500mm,70.7500mm,Top,270.0
R10,175.1950mm,63.9500mm,Top,0.0
R11,175.1950mm,66.9500mm,Top,0.0
R12,170.4500mm,63.3250mm,Top,270.0
R13,167.1950mm,100.5000mm,Top,0.0
R14,175.7950mm,82.1250mm,Top,90.0
R15,154.5200mm,67.7750mm,Top,90.0
R16,164.7500mm,55.8500mm,Top,0.0
R17,43.3000mm,27.4000mm,Top,270.0
R18,126.6750mm,54.3000mm,Top,180.0
R19,126.7250mm,56.8500mm,Top,180.0
R20,126.4750mm,45.0000mm,Top,180.0
R21,126.4750mm,47.5500mm,Top,180.0
R22,126.3750mm,35.6000mm,Top,180.0
R23,126.3750mm,38.1500mm,Top,180.0
R24,148.1000mm,11.6000mm,Top,0.0
R25,151.2000mm,11.6000mm,Top,0.0
R26,141.9250mm,11.5500mm,Top,0.0
R27,145.0500mm,13.2000mm,Top,0.0
R28,135.7000mm,13.2500mm,Top,0.0
R29,138.8250mm,11.6000mm,Top,0.0
R30,141.6500mm,69.5250mm,Top,90.0
R31,139.9500mm,69.5250mm,Top,90.0
R32,143.0000mm,62.1000mm,Top,270.0
R33,138.6000mm,62.1000mm,Top,270.0
R34,155.3500mm,2.6500mm,Top,90.0
R35,158.7250mm,1.8500mm,Top,0.0
R36,136.5000mm,54.6750mm,Top,90.0
R37,136.5000mm,57.6750mm,Top,90.0
R38,136.4500mm,45.3250mm,Top,90.0
R39,136.4500mm,48.3250mm,Top,90.0
R40,136.3500mm,36.1250mm,Top,90.0
R41,136.3500mm,39.1250mm,Top,90.0
R42,152.2000mm,19.0250mm,Top,270.0
R43,153.7000mm,19.0250mm,Top,270.0
R44,160.2000mm,19.0250mm,Top,270.0
R45,161.8000mm,19.0750mm,Top,270.0
R46,105.5250mm,13.3500mm,Top,0.0
R47,144.9500mm,23.1250mm,Top,90.0
R48,151.4500mm,23.1250mm,Top,90.0
R49,158.8000mm,23.1250mm,Top,90.0
R50,165.5500mm,23.1250mm,Top,90.0
R51,99.4500mm,20.1250mm,Top,270.0
R52,146.9500mm,23.1250mm,Top,270.0
R53,149.4500mm,23.1250mm,Top,270.0
R54,161.0500mm,23.1250mm,Top,270.0
R55,163.1500mm,23.1250mm,Top,270.0
R56,100.9500mm,17.1250mm,Top,0.0
R59,123.2000mm,24.2750mm,Top,90.0
R60,119.9500mm,24.4500mm,Top,180.0
R61,117.4500mm,25.2250mm,Top,90.0
R62,115.0000mm,24.4000mm,Top,180.0
R63,83.2450mm,74.9600mm,Top,270.0
R64,84.9450mm,71.1350mm,Top,270.0
R65,87.7450mm,69.3850mm,Top,270.0
R66,82.4200mm,72.3100mm,Top,180.0
R67,117.6500mm,11.7500mm,Top,180.0
R68,78.6075mm,62.4600mm,Top,0.0
R69,78.4500mm,60.0500mm,Top,0.0
R70,79.4200mm,64.5600mm,Top,0.0
R71,82.2950mm,60.3100mm,Top,0.0
R72,84.6950mm,60.3100mm,Top,90.0
R73,79.3950mm,66.4100mm,Top,180.0
R74,104.2000mm,39.6000mm,Top,180.0
R75,83.2500mm,52.7000mm,Top,270.0
R76,87.7500mm,47.1250mm,Top,270.0
R77,113.8750mm,11.7500mm,Top,180.0
R78,84.9500mm,48.8750mm,Top,270.0
R79,82.4250mm,50.0500mm,Top,180.0
R80,78.6125mm,40.2000mm,Top,0.0
R81,78.5000mm,37.8000mm,Top,0.0
R82,79.4250mm,42.3000mm,Top,0.0
R83,82.3000mm,38.0500mm,Top,0.0
R84,84.7000mm,38.0500mm,Top,90.0
R85,79.4000mm,44.1500mm,Top,180.0
R86,104.2000mm,36.0000mm,Top,180.0
R87,83.3000mm,29.8500mm,Top,270.0
R88,87.8000mm,24.2750mm,Top,270.0
R89,110.0500mm,11.7500mm,Top,180.0
R90,85.0000mm,26.0250mm,Top,270.0
R91,82.4750mm,27.2000mm,Top,180.0
R92,78.6625mm,17.3500mm,Top,0.0
R93,78.5000mm,14.9500mm,Top,0.0
R94,79.4750mm,19.4500mm,Top,0.0
R95,82.3500mm,15.2000mm,Top,0.0
R96,84.7500mm,15.2000mm,Top,90.0
R97,79.4500mm,21.3000mm,Top,180.0
R98,104.1500mm,32.2500mm,Top,180.0
R99,111.5750mm,52.3500mm,Top,180.0
R100,106.8250mm,48.2500mm,Top,180.0
R101,104.2000mm,28.5500mm,Top,180.0
R102,104.1750mm,43.3500mm,Top,180.0
